id,pincode,city_id,created_by,updated_by,created_at,updated_at,country_master
105,121009,198,seed_data,seed_data,1696090682245101,1696090682245101,018b05dd-2983-7809-a2d1-95b3f1776eb3
106,121010,198,seed_data,seed_data,1696090682245114,1696090682245114,018b05dd-2983-7809-a2d1-95b3f1776eb3
107,121012,198,seed_data,seed_data,1696090682245127,1696090682245127,018b05dd-2983-7809-a2d1-95b3f1776eb3
108,121013,198,seed_data,seed_data,1696090682245141,1696090682245141,018b05dd-2983-7809-a2d1-95b3f1776eb3
109,121014,198,seed_data,seed_data,1696090682245154,1696090682245154,018b05dd-2983-7809-a2d1-95b3f1776eb3
110,121015,198,seed_data,seed_data,1696090682245168,1696090682245168,018b05dd-2983-7809-a2d1-95b3f1776eb3
111,121101,198,seed_data,seed_data,1696090682245181,1696090682245181,018b05dd-2983-7809-a2d1-95b3f1776eb3
112,121102,497,seed_data,seed_data,1696090682245195,1696090682245195,018b05dd-2983-7809-a2d1-95b3f1776eb3
113,121103,497,seed_data,seed_data,1696090682245231,1696090682245231,018b05dd-2983-7809-a2d1-95b3f1776eb3
114,121105,497,seed_data,seed_data,1696090682245262,1696090682245262,018b05dd-2983-7809-a2d1-95b3f1776eb3
115,121106,497,seed_data,seed_data,1696090682245293,1696090682245293,018b05dd-2983-7809-a2d1-95b3f1776eb3
116,121107,497,seed_data,seed_data,1696090682245324,1696090682245324,018b05dd-2983-7809-a2d1-95b3f1776eb3
117,122001,235,seed_data,seed_data,1696090682245355,1696090682245355,018b05dd-2983-7809-a2d1-95b3f1776eb3
118,122002,235,seed_data,seed_data,1696090682245371,1696090682245371,018b05dd-2983-7809-a2d1-95b3f1776eb3
119,122003,235,seed_data,seed_data,1696090682245386,1696090682245386,018b05dd-2983-7809-a2d1-95b3f1776eb3
120,122004,235,seed_data,seed_data,1696090682245401,1696090682245401,018b05dd-2983-7809-a2d1-95b3f1776eb3
121,122005,235,seed_data,seed_data,1696090682245416,1696090682245416,018b05dd-2983-7809-a2d1-95b3f1776eb3
122,122006,235,seed_data,seed_data,1696090682245431,1696090682245431,018b05dd-2983-7809-a2d1-95b3f1776eb3
123,122007,235,seed_data,seed_data,1696090682245446,1696090682245446,018b05dd-2983-7809-a2d1-95b3f1776eb3
124,122008,235,seed_data,seed_data,1696090682245461,1696090682245461,018b05dd-2983-7809-a2d1-95b3f1776eb3
125,122009,235,seed_data,seed_data,1696090682245476,1696090682245476,018b05dd-2983-7809-a2d1-95b3f1776eb3
126,122010,235,seed_data,seed_data,1696090682245491,1696090682245491,018b05dd-2983-7809-a2d1-95b3f1776eb3
127,122011,235,seed_data,seed_data,1696090682245506,1696090682245506,018b05dd-2983-7809-a2d1-95b3f1776eb3
128,122012,235,seed_data,seed_data,1696090682245521,1696090682245521,018b05dd-2983-7809-a2d1-95b3f1776eb3
129,122015,235,seed_data,seed_data,1696090682245536,1696090682245536,018b05dd-2983-7809-a2d1-95b3f1776eb3
130,122016,235,seed_data,seed_data,1696090682245551,1696090682245551,018b05dd-2983-7809-a2d1-95b3f1776eb3
131,122017,235,seed_data,seed_data,1696090682245566,1696090682245566,018b05dd-2983-7809-a2d1-95b3f1776eb3
132,122018,235,seed_data,seed_data,1696090682245581,1696090682245581,018b05dd-2983-7809-a2d1-95b3f1776eb3
133,122051,235,seed_data,seed_data,1696090682245596,1696090682245596,018b05dd-2983-7809-a2d1-95b3f1776eb3
134,122052,235,seed_data,seed_data,1696090682245611,1696090682245611,018b05dd-2983-7809-a2d1-95b3f1776eb3
